"title","content","date","variant","images","verified","author","rating","product","url"
"Just go for it!","First of all I would like to tell you that i won't be giving a very technical review like those on ytube videos. I am gonna give a very honest review as a general phone user just like all of you only. This is my first phone for a price above 20k so i thought and researched a lot before buying. I was confused between buying iphone 12 and Nord 2 I know the price difference is more but still I won't go for above 50k to buy any phone other than Iphone. But honestly man i think at 30k this 1+ nord 2 is really astonishing. You don't need to go for one plus 9 or other higher range phones of one plus or else if you have some extra bucks in pocket which u just wanna spend. So I will be telling u the pros and cons of this phone very honestly after 3-4 days of very vigorous usage. Pros: 1. Very ultra premium features at this price range of 30k and pretty much matching features with higer range one plus models. 2. The display is just great. 3. Screen refresh rate you can actually feel to be fast @90Hz. 4. No heating issue in phone or the charger till now. 5. They are giving a back cover with the phone, which is pretty good actually with bumps in side and camera portion which actually saved my phone from a direct fall on a rough floor that too on screen side..and no scratches at all!!..so the cover's tested guys😂and it actually feels elegant. So you need not do the hectic work of searching for back covers after buying a phone and infact the scratch guard which they have put on the screen is quite handy.. I don't think u need to put a temper guard if u handle ur phone well, anyways thats your choice..for me i m gonna go with the scratch guard for some weeks or may be month n lets see how it goes..for now about a week it feels to be performing just outstanding. So i wont be telling u more features of this phone as u can read'em anywhere in its specifications. I will tell you some 'X-Factors of Nord 2. And why you should decide to buy this phone 1. The charging time.. I was like whtt!! When the phone shootes up from 0% to 85% in just about 30mins and upto 100% in around 40-45 mins...So the warp charging is just out of world @65W charger. Never ever saw this in any phone. 2. The stereo speakers. When i played the first song i was just shocked what i just heard. Yes it actually feels to be giving a 3D feel of sound. Actually sound comes out of speakers on bottom right as well as speakers on top of screen which are meant to be for calling purpose only in other phones .So this phone just rocked here. 3. The camera just performs outstanding in low light, dark or even very dark sorroundings. To check it I went on to my terrace and clicked a picture in dark which you can see yourself..i have put it here. 4. The phone buid really feels premium. Some of the cons or I won't say cons..bcz I don't really feel them as cons.as u can ignore them over the astonishing features of this phone..but since we can't go away without mentioning some cons so here are some. 1. They could have provided a little higher battery capacity like those in Samsung phones coz of Such a high resolution display and refresh rate..but it could have increased the weight of phone..so its pretty much understandable. Battery back up is some what 12-14 hrs which I got on continuous usage..like songs.. attending meetings on teams.. Netflix etc. But since it gives so..so..so.. fast charging u just wont feel it. 2. No earphone jack..If that is a con to u..not for me actually😂 Nothing else serious issue this phone has got me into till now .So that it guys..If i find anything else after prolonged Usage I will honestly put it here. So I will say if you wanna buy a phone above 50k just dont..buy this if you budget is ~25k stretch it a lill and buy this Nord 2.","28 Jul 2021","Colour: Gray Sierra Size name: 8GB RAM+128GB Storage","https://m.media-amazon.com/images/I/5197ODYkaKL._SY88.jpg
https://m.media-amazon.com/images/I/51YHPvM1WdL._SY88.jpg
https://m.media-amazon.com/images/I/51k+AjFb3GL._SY88.jpg
https://m.media-amazon.com/images/I/61h6aZWj6zL._SY88.jpg
https://m.media-amazon.com/images/I/61zwdHoRDOL._SY88.jpg
https://m.media-amazon.com/images/I/91CR9q7GmIL._SY88.jpg
https://m.media-amazon.com/images/I/91VE1aUM1-L._SY88.jpg
https://m.media-amazon.com/images/I/A1sNHJ2iSIL._SY88.jpg","Yes","RAVI RANJAN","5.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Waste of hard earned money - buy only if you want to thow your money to buy a bin","In my first review given within 24 hrs l found it amazing but after 10 days of usage l can say it is full of bugs; l checked my return window it passed on 3rd Aug ; l regret to choose one plus over samsung.. sooner l have to exchange or throw this mobile if bugs not fixed.One plus no never purchase; frustrated with this mobile.","28 Jul 2021","Colour: Gray Sierra Size name: 8GB RAM+128GB Storage","","Yes","Naveen Jha","1.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Initial thoughts- A good, practical phone","Received my unit 4hr ago and here is what I think- 1. Feels sturdy and premium in hand. 2. 90hz looks absolutely fine, you won't miss 120hz 3. In normal usage, the phone did not heat. 4. Charged from 20-100% in just 15-20mins. My mind was blow away. 5. Cameras- I didn't use it much but a sample image is attached which I took from the primary rear camera. So far it looks good to me. 6. UI is clean but there were a lot of permissions which I had to accept to use the basic things like camera, search in the drawer. It clearly says in the policy that it shares my data. I believe we cannot do much about this. This is my initial impression, will update accordingly in the future.","28 Jul 2021","Colour: Gray Sierra Size name: 8GB RAM+128GB Storage","https://m.media-amazon.com/images/I/B1y0pmNDBSS._SY88.jpg","Yes","Harsimran","4.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Wait for updates to feel good about purchase.","7/28: Received this yesterday and first impression from look and feel was great. Was waiting for some reviews but will go first on this one, havent tried camera yet and should not as I moved from a Pixel 5 to this one. Purely for sake of google not providing dual apps even with eSim option. Things went south 1) The mobile heated up a bit even during data transfer done via One plus switch App. 2) VLC, gallery kept crashing. Videos will stop in middle and close, gallery will crash while you scroll on pictures. 3) Few things are hard to find, not sure why camera need so many permission just to let you open it. 4) Then came a update today morning and it hit the app cloner seems. Even with FB, Insta and WA on mobile, its not able to see it. I even reinstalled those to see if it picks it up. Seems like a half baked product with lack of testing rolled out to market. We are the test users. Product is overall okay and not my first one plus device. Just a bit of let down to start with and will have to wait on how soon these issues are sorted. Update 7/31: ----------------- - App cloner is showing apps now. However below apps continue to crash - Camera - whatsapp - youtuebe - Spotify - shuttle .  Ruined Android auto as well. I am sure list is long, but these are ones tried today and it's pathetic.","28 Jul 2021","Colour: Blue Haze Size name: 8GB RAM+128GB Storage","https://m.media-amazon.com/images/I/510coKzjoyL._SY88.jpg","Yes","Manny","1.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Phone not upto expectation as described, Bugs needs to be fixed","I got OnePlus Nord 2 5G phone delivered yesterday. While setting up Phone got an update and updated my phone. Some bugs needs to be fixed by OnePlus team. Below are some findings. 1. Charging time of this phone from 21% to 100% took  auround 16 minutes which is good but at the same time battery is draining too fast after 2 hours battery was 31%. As I am not heavy user of this phone but still battery drained fast. 2. While installing apps or updating apps I get error message stating that my storage is full and need to remove unused apps. I purchased 256 gb internal storage and had 217 gb free storage. 3. While I was using flipkart app I noticed that after 12 seconds app closes automatically and I need to reopen again and again after every 12 seconds. This is very annoying. Please think before you buy this phone.","29 Jul 2021","Colour: Gray Sierra Size name: 12GB RAM+256GB Storage","","Yes","Ratnakaram","1.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"The phone battery drains very fast rest all is good","Product is good in performance But battery draining is fast need to replace","28 Jul 2021","Colour: Gray Sierra Size name: 8GB RAM+128GB Storage","https://m.media-amazon.com/images/I/71tRbAxG1dL._SY88.jpg","Yes","Bikash. Sahoo","1.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Worst 32MP Front camera.","I bought one plus phone for the first time and i am very disappointed with it..","28 Jul 2021","Colour: Blue Haze Size name: 8GB RAM+128GB Storage","","Yes","Firoz khan","1.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Very bad and worst experience with OnePlus","Bad experience with this from the moment it received. Mobile hangs and slow while the initial startup. Device not working properly and restarts several times automatically. App clone not working and I have the apps in my mobile it mentioned in the app clone but it doesn't showing anything to clone. Normal whatsapp chat drive backup not working... My old whatsapp backups are gone😡😡😡. Very bad and worst experience with OnePlus..","28 Jul 2021","Colour: Gray Sierra Size name: 8GB RAM+128GB Storage","https://m.media-amazon.com/images/I/61Qiwvh4a9L._SY88.jpg
https://m.media-amazon.com/images/I/91F1J2n0jJL._SY88.jpg
https://m.media-amazon.com/images/I/91GWHm0zoAL._SY88.jpg","Yes","Rajasrinivasan","1.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Heating issues","There are heating issues with average usage. Battery drains very fast.","29 Jul 2021","Colour: Blue Haze Size name: 8GB RAM+128GB Storage","","Yes","Dr. MUSADDIQ KHAN","1.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Defective/damage product","Ridiculous experience. My phone comes with dent, didn't expected from amazon and seller.","29 Jul 2021","Colour: Blue Haze Size name: 8GB RAM+128GB Storage","https://m.media-amazon.com/images/I/91HEx9xB0XL._SY88.jpg","Yes","Shiv Dwivedi","1.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"I want return","Very bad phone. Over heating for reason. Even i dont play games. 😭😭 I want return it. Battery drain too fast. Only give backup of 2-3 hours. Plz Amazon help. My 30000 get waste. It's not even 24hours. My old realme narzo is better than this","29 Jul 2021","Colour: Gray Sierra Size name: 8GB RAM+128GB Storage","","Yes","Miracle","2.0","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Sierra-128GB-Storage/product-reviews/B097RDVDL2/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
